,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
236,9,RS11.22,22/05/2018,2142,2150,2155,5,OWO - T/SHIP,KM 3 OPP TECHNICAL SCHL OWO,BJK 817 QA,BIKE,COM,BOXERS,BIKE,,,,LOC,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2
237,10,RS11.22,23/05/2018,1502,1510,1516,6,OWO - AKR,KM 3 FIRST MOLAC,ABC 364 XA & AKR 143 AL,BUS & CAR,COM & PVT,TYT & HONDA,HIACE & ACCORD,,,,WOV,2,0,0,0,2,0,0,0,0,0,6,0,0,0,6
239,1,RS11.23,07/05/2018,1208,1209,1213,4,IKR - OWO,KM 5  ARMY CHECK POINT,KAK 982 XA & KAK 11 YQ,BUS & BIKE,2 COM,2 TYT,2 SUZUKI,,,,BFL &  LOC,1,0,0,0,1,0,0,0,0,0,8,4,0,0,12
240,2,RS11.23,08/05/2018,1159,1203,1215,12,IKR - OWO,KM 6 MOUNTAIN OF SOLUTION,NSR 318 XM,TRL,COM,IVECO,TRL,,,,BFL &  LOC,16,8,0,0,24,0,0,0,0,0,25,13,0,0,38
241,3,RS11.23,11/05/2018,2020,2028,2037,9,IKR - ISUA,KM 21 OKIAH VALLEY,LSR 845 XN,CAR,PVT,V/WAGEN,WALKER,,,,BFL,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
242,4,RS11.23,12/05/2018,2329,2331,2344,13,IKR - AJOWA,KM 2 NNPC FILLING STATION,NO NOS & FST 260 QC,2 BIKE,2  COM,HAOJUE & BOXERS,SUZUKI & BAJAJ,,,,SPV,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
243,5,RS11.23,14/05/2018,1530,1533,1537,4,IKR - ADO,KM 7 IRUN OGBAGI  GRAMMER SCHL,NO NOS,BIKE,COM,BOXERS,BAJAJ,,,,SPV,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
244,6,RS11.23,15/05/2018,1635,1643,1654,11,IKR - ISUA,KM 23 NNPC EPINMI,XA 431 KKR & AUY 98 XA,2 BUS,2 COM,2 TYT,2 HIACE,,,,SPV & BFL,11,0,0,0,11,0,0,0,0,0,38,0,0,0,38
245,7,RS11.23,19/05/2018,1015,1018,1031,13,IKR - OWO,KM 29 AGO OKA BEND,"KTU 855 DN, TT 653 AAA & AKR 880 AG",3 BUS,3 PVT,2 TYT & HYUNDAI,HIACE & BUS,,,,SPV,2,0,0,0,2,0,0,0,0,0,5,0,0,0,5
246,8,RS11.23,19/05/2018,1236,1240,1248,8,IKR - OWO,KM 12 ETIORO BEND,AZ 513 KUJ & AGL 865 XU,CAR & TRK,PVT & COM,PGT & MAN DIESEL,307 & TRK,,,,SPV,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3
247,9,RS11.23,23/05/2018,0700,0706,0711,5,IKR - ISUA,KM 21 OKIAH VALLEY,NSR 619 ZD,TRL,COM,DAF,TRL,,,,BFL,4,0,0,0,4,0,0,0,0,0,10,0,0,0,10
