,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,cause1,cause2
639,"['AKR', 'IPT']",KM 25 IGBARA OKE,AAA 261 FB & JHN 285 XA,CAR & BUS,2 COM,HONDA & TYT,CROSS TOUR & HAICE,8.0,11.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,1.0,2.0,24.0,6,9,2019,1200,1920,720,2,9,AKR,IPT,SPV,WOV
640,"['AKR', 'OWO']",OPP NNPC MEGA STATION,LSR 652 CQ & ,CAR,PVT,NISSAN ,XTERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7,9,2019,1980,2220,240,1,5,AKR,OWO,SLV,LOC
641,"['AKR', 'OWO']",KM 2 ONYARUGBULEM JUNCTION,JTA 783 XA & NO NOS,CAR & BIKE,2 COM,V/WAGEN & BAJAJ,GOLF & BOXERS,2.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,5.0,8,9,2019,300,720,420,2,18,AKR,OWO,SPV,
642,"['AKR', 'IPT']",ROADBLOCK JUNCTION,SUA 924 XA,BIKE,COM,TVS,BIKE,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,8,9,2019,300,600,300,1,20,AKR,IPT,SLV,LOC
643,"['AKR', 'OWO']",KM 2 ONYARUGBULEM JUNCTION,FST 112 XX (HIT & RUN),TRL,COM,DAF,TRL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,9,13,2019,240,600,360,1,11,AKR,OWO,SPV,
644,"['AKR', 'IPT']",KM 7 IGBARA OKE,FG 430 V01 & NO NOS,2 TRK,GOV & COM,IVECO & MAN DIESEL,2 TRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,9,14,2019,1020,1800,780,2,13,AKR,IPT,SLV,
645,"['AKR', 'IPT']",INFRONT OF FUTA NORTH GATE,AKR 164 VR,BIKE,COM,HONDA ,BIKE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9,15,2019,60,180,120,1,9,AKR,IPT,SPV,
646,"['AKR', 'OWO']",INFRONT OF NNPC ,AT 784 AKR & XA 226 FSK,CAR & BUS,PVT & COM,HONDA & PGT,ACCORD & J5,5.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,9,20,2019,420,900,480,2,21,AKR,OWO,DUI,SPV
647,"['AKR', 'OWO']",OYIN BEFORE BOLORUNDURO,AGL 539 XL,BUS,COM,NISSAN,BUS,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9,22,2019,1500,2100,600,1,18,AKR,OWO,SLV,LOC
648,"['ORE', 'LAG']",KM 3 SHOWBOY,BDR 741 AS & NO NOS,CAR & TRL,PVT & COM,V/WAGEN & HOWO,PASSAT & TRL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,5,9,2019,300,900,600,2,7,ORE,LAG,DGD,
